title,provide_salary,company_type,company_size,company_ind,area,experience,education,number,min_wage,max_wage,avg_wage
大数据开发工程师,1-1.5万/月,外资（欧美）,暂无,计算机软件,苏州-姑苏区,3-4年经验,本科,招1人,1.0,1.5,1.2
大数据开发工程师,1.4-1.8万/月,民营公司,150-500人,互联网/电子商务,广州-黄埔区,2年经验,本科,招2人,1.4,1.8,1.6
大数据开发工程师,1.5-2万/月,民营公司,150-500人,计算机软件,异地招聘,3-4年经验,本科,招若干人,1.5,2.0,1.8
大数据开发工程师,1.5-2万/月,民营公司,50-150人,计算机软件,深圳-福田区,3-4年经验,本科,招若干人,1.5,2.0,1.8
大数据开发工程师,1.2-1.8万/月,外资（欧美）,150-500人,专业服务(咨询、人力资源、财会),上海,2年经验,本科,招1人,1.2,1.8,1.5
大数据平台架构师,3-5万/月,合资,150-500人,互联网/电子商务,深圳,8-9年经验,本科,招若干人,3.0,5.0,4.0
大数据开发工程师,0.8-1.3万/月,民营公司,50-150人,通信/电信/网络设备,广州-天河区,1年经验,本科,招若干人,0.8,1.3,1.1
大数据开发工程师（成都）,0,民营公司,暂无,计算机软件,成都,暂无,本科,招若干人,0.0,0.0,0.0
大数据开发工程师,1-1.3万/月,民营公司,150-500人,互联网/电子商务,重庆,1年经验,大专,招若干人,1.0,1.3,1.1
大数据开发工程师,1.2-1.5万/月,民营公司,500-1000人,计算机软件,深圳-福田区,2年经验,本科,招5人,1.2,1.5,1.4
大数据开发工程师,1.3-2万/月,上市公司,500-1000人,计算机软件,上海-虹口区,3-4年经验,大专,招2人,1.3,2.0,1.6
大数据开发工程师,1-1.5万/月,民营公司,少于50人,计算机软件,广州-天河区,2年经验,本科,招1人,1.0,1.5,1.2
大数据开发实习生（乌鲁木齐）,0,外资（欧美）,暂无,通信/电信/网络设备,乌鲁木齐,暂无,本科,招若干人,0.0,0.0,0.0
高级大数据开发工程师,3-4万/月,民营公司,1000-5000人,计算机软件,杭州-余杭区,5-7年经验,本科,招1人,3.0,4.0,3.5
大数据算法工程师,1.5-2万/月,国企,150-500人,航天/航空,西安-长安区,3-4年经验,硕士,招1人,1.5,2.0,1.8
大数据工程师,0.8-1.2万/月,民营公司,少于50人,电子技术/半导体/集成电路,广州-番禺区,1年经验,本科,招1人,0.8,1.2,1.0
大数据工程师,1.5-2万/月,民营公司,50-150人,计算机软件,上海-杨浦区,3-4年经验,大专,招1人,1.5,2.0,1.8
大数据开发工程师,1-2万/月,民营公司,150-500人,计算机软件,南京,1年经验,大专,招2人,1.0,2.0,1.5
hadoop大数据工程师,1.2-2万/月,民营公司,少于50人,计算机软件,武汉-东湖新技术产业开发区,3-4年经验,大专,招3人,1.2,2.0,1.6
大数据开发助理工程师,5-7千/月,民营公司,暂无,快速消费品(食品、饮料、化妆品),深圳-南山区,无需经验,大专,招3人,0.5,0.7,0.6
大数据开发工程师,1-2万/月,国企,500-1000人,计算机软件,南京,3-4年经验,本科,招若干人,1.0,2.0,1.5
大数据开发工程师,0.7-1.5万/月,民营公司,5000-10000人,交通/运输/物流,杭州-江干区,2年经验,大专,招2人,0.7,1.5,1.1
大数据开发工程师,1.2-2.4万/月,民营公司,500-1000人,计算机软件,杭州-余杭区,2年经验,本科,招5人,1.2,2.4,1.8
大数据开发工程师,1-1.5万/月,合资,少于50人,计算机软件,嘉兴,3-4年经验,本科,招2人,1.0,1.5,1.2
大数据架构师或开发负责人,2.1-3.5万/月,民营公司,500-1000人,计算机软件,杭州,5-7年经验,大专,招3人,2.1,3.5,2.8
大数据架构师,2.5-3.5万/月,民营公司,150-500人,互联网/电子商务,杭州-拱墅区,8-9年经验,本科,招1人,2.5,3.5,3.0
大数据负责人,4-6万/月,民营公司,500-1000人,计算机软件,杭州-江干区,8-9年经验,本科,招1人,4.0,6.0,5.0
大数据开发工程师,1.2-2.5万/月,民营公司,5000-10000人,互联网/电子商务,南京,3-4年经验,大专,招1人,1.2,2.5,1.9
大数据开发工程师,0.9-1.5万/月,民营公司,50-150人,计算机软件,南京-江宁区,3-4年经验,本科,招2人,0.9,1.5,1.2
主任工程师（大数据）,40-60万/年,国企,10000人以上,汽车,上海-青浦区,5-7年经验,本科,招1人,3.3,5.0,4.2
spark大数据离线开发,1.2-2.2万/月,上市公司,1000-5000人,通信/电信/网络设备,南京,3-4年经验,本科,招2人,1.2,2.2,1.7
大数据开发主任工程师（数据仓库方向）,1.5-2万/月,上市公司,10000人以上,新能源,常州-新北区,5-7年经验,本科,招1人,1.5,2.0,1.8
大数据架构师,2.5-3万/月,外资（非欧美）,150-500人,多元化业务集团公司,南京-玄武区,5-7年经验,本科,招1人,2.5,3.0,2.8
物联网工程、大数据技术教师,4.5-6千/月,民营公司,150-500人,教育/培训/院校,异地招聘,无需经验,本科,招6人,0.5,0.6,0.6
高级大数据开发工程师,1-1.8万/月,合资,50-150人,互联网/电子商务,广州-黄埔区,3-4年经验,本科,招1人,1.0,1.8,1.4
车联网大数据应用工程师,0.6-1万/月,合资,150-500人,汽车,西安-经济技术开发区,3-4年经验,本科,招1人,0.6,1.0,0.8
大数据工程师,0.6-1万/月,上市公司,500-1000人,电子技术/半导体/集成电路,西安,5-7年经验,本科,招4人,0.6,1.0,0.8
大数据算法工程师,2-4万/月,民营公司,150-500人,计算机软件,深圳-南山区,3-4年经验,本科,招1人,2.0,4.0,3.0
大数据工程师,1.4-2.5万/月,民营公司,50-150人,计算机软件,异地招聘,无需经验,硕士,招1人,1.4,2.5,1.9
JAVA工程师(大数据),0.8-1.5万/月,民营公司,500-1000人,计算机软件,武汉,2年经验,本科,招1人,0.8,1.5,1.1
大数据开发工程师,2-4万/月,民营公司,500-1000人,金融/投资/证券,武汉-武昌区,8-9年经验,硕士,招3人,2.0,4.0,3.0
大数据开发工程师,6-8千/月,民营公司,150-500人,计算机软件,长沙-岳麓区,2年经验,本科,招2人,0.6,0.8,0.7
大数据ETL开发（无锡）,1.5-2万/月,民营公司,500-1000人,计算机软件,无锡-锡山区,2年经验,本科,招1人,1.5,2.0,1.8
大数据开发工程师(J10297),1.1-2万/月,民营公司,500-1000人,房地产,成都-武侯区,5-7年经验,本科,招1人,1.1,2.0,1.6
电池大数据分析工程师-宜宾-00147,1-2万/月,民营公司,150-500人,机械/设备/重工,异地招聘,3-4年经验,本科,招1人,1.0,2.0,1.5
大数据平台研发经理,2-2.5万/月,民营公司,50-150人,通信/电信/网络设备,上海-徐汇区,5-7年经验,本科,招1人,2.0,2.5,2.2
