title,provide_salary,company_type,company_size,company_ind,area,experience,education,number,min_wage,max_wage,avg_wage
Java开发工程师,0.8-1.6万/月,民营公司,50-150人,计算机软件,南京,2年经验,大专,招2人,0.8,1.6,1.2
JAVA高级开发工程师,1.5-2万/月,合资,150-500人,计算机软件,异地招聘,3-4年经验,大专,招若干人,1.5,2.0,1.8
Java开发工程师,1.5-2万/月,民营公司,少于50人,广告,惠州,5-7年经验,大专,招1人,1.5,2.0,1.8
IT后端工程师,1.5-2万/月,民营公司,10000人以上,农/林/牧/渔,异地招聘,3-4年经验,本科,招3人,1.5,2.0,1.8
Java开发工程师,1.5-2万/月,民营公司,150-500人,计算机服务(系统、数据服务、维修),深圳-南山区,3-4年经验,本科,招若干人,1.5,2.0,1.8
信息系统 咨询师及架构师,2-3.5万/月,上市公司,150-500人,互联网/电子商务,南京-浦口区,3-4年经验,本科,招2人,2.0,3.5,2.8
开发工程师,0.8-1.2万/月,民营公司,50-150人,多元化业务集团公司,南京-秦淮区,3-4年经验,本科,招6人,0.8,1.2,1.0
java开发工程师(base深圳）,1.5-2万/月,民营公司,10000人以上,电子技术/半导体/集成电路,深圳,5-7年经验,本科,招1人,1.5,2.0,1.8
Java中级开发工程师,1-2万/月,民营公司,少于50人,计算机服务(系统、数据服务、维修),上海,3-4年经验,本科,招1人,1.0,2.0,1.5
架构师,2.5-3.5万/月,民营公司,少于50人,通信/电信/网络设备,深圳-南山区,5-7年经验,本科,招若干人,2.5,3.5,3.0
系统架构师,1-1.8万/月,民营公司,50-150人,计算机硬件,青岛-崂山区,5-7年经验,大专,招1人,1.0,1.8,1.4
Python高级开发工程师,1.5-2.5万/月,上市公司,1000-5000人,计算机软件,上海-虹口区,5-7年经验,本科,招1人,1.5,2.5,2.0
Java开发工程师,10-30万/年,民营公司,50-150人,计算机软件,上海-浦东新区,2年经验,本科,招10人,0.8,2.5,1.6
Java开发工程师,0.8-1.6万/月,民营公司,150-500人,计算机软件,南京-江北新区,3-4年经验,本科,招5人,0.8,1.6,1.2
数据工程师 急,4-8千/月,民营公司,50-150人,计算机软件,昆明-西山区,1年经验,大专,招3人,0.4,0.8,0.6
Elasticsearch 开发工程师,1.2-2万/月,民营公司,50-150人,计算机软件,苏州-高新区,2年经验,本科,招1人,1.2,2.0,1.6
数据治理平台-java开发工程师,1.2-3万/月,民营公司,少于50人,计算机服务(系统、数据服务、维修),上海-黄浦区,3-4年经验,本科,招2人,1.2,3.0,2.1
Java高级开发工程师,1.5-3万/月,民营公司,少于50人,计算机服务(系统、数据服务、维修),上海-松江区,3-4年经验,本科,招若干人,1.5,3.0,2.2
服务端高级开发工程师(Linux),2-3万/月,民营公司,50-150人,通信/电信/网络设备,北京-丰台区,5-7年经验,本科,招2人,2.0,3.0,2.5
系统架构师,2-5万/月,国企,1000-5000人,电气/电力/水利,南京-江宁区,5-7年经验,本科,招3人,2.0,5.0,3.5
Java资深开发工程师,0.9-1.8万/月,民营公司,50-150人,互联网/电子商务,杭州,3-4年经验,本科,招1人,0.9,1.8,1.4
java工程师（高级）,1.5-2.5万/月,民营公司,50-150人,计算机软件,温州,5-7年经验,大专,招3人,1.5,2.5,2.0
Java开发工程师,0.6-1.2万/月,民营公司,50-150人,计算机软件,苏州-高新区,2年经验,大专,招10人,0.6,1.2,0.9
系统架构师,1.5-2万/月,民营公司,50-150人,文字媒体/出版,沈阳-沈北新区,3-4年经验,大专,招2人,1.5,2.0,1.8
Java高级工程师,0.8-1.1万/月,民营公司,150-500人,计算机软件,武汉-东湖新技术产业开发区,3-4年经验,本科,招若干人,0.8,1.1,1.0
Java开发工程师,1.2-1.5万/月,国企,50-150人,计算机软件,上海,3-4年经验,本科,招若干人,1.2,1.5,1.4
集团下属新迪公司-软件工程师,1-1.5万/月,国企,1000-5000人,房地产,苏州-高新区,3-4年经验,本科,招2人,1.0,1.5,1.2
系统架构师,1.8-3.5万/月,民营公司,少于50人,计算机软件,成都-高新区,3-4年经验,本科,招1人,1.8,3.5,2.6
技术支撑工程师,0.8-1.2万/月,民营公司,50-150人,计算机软件,上海,2年经验,大专,招若干人,0.8,1.2,1.0
数据开发工程师,0.8-1万/月,国企,少于50人,计算机服务(系统、数据服务、维修),青岛-市北区,无需经验,本科,招2人,0.8,1.0,0.9
Java开发工程师,1.5-2.5万/月,民营公司,150-500人,计算机软件,武汉-洪山区,5-7年经验,本科,招3人,1.5,2.5,2.0
信息化工程师,1-1.5万/月,民营公司,10000人以上,家具/家电/玩具/礼品,佛山-顺德区,3-4年经验,本科,招1人,1.0,1.5,1.2
Sr. Software Engineer/高级软件工程师-智能制造及数字化业务_DCCS,0,外资（欧美）,10000人以上,汽车,上海,3-4年经验,暂无,招若干人,0.0,0.0,0.0
JMP_Digital Manager(Data Expert)/博世初级经理人计划_数据架构 研发领域_ED,0,外资（欧美）,10000人以上,汽车,长沙,5-7年经验,暂无,招若干人,0.0,0.0,0.0
JAVA技术专家/架构师,1.5-2万/月,国企,500-1000人,交通/运输/物流,上海-静安区,5-7年经验,本科,招1人,1.5,2.0,1.8
Data Scientist(006FEI),2.5-3万/月,外资（欧美）,10000人以上,电气/电力/水利,北京,5-7年经验,本科,招1人,2.5,3.0,2.8
科技发展部-开发工程师,1.2-2.4万/月,上市公司,1000-5000人,互联网/电子商务,北京-朝阳区,5-7年经验,本科,招若干人,1.2,2.4,1.8
IT软件开发 (侧重数据仓库相关模块),1-1.5万/月,合资,500-1000人,保险,上海-浦东新区,3-4年经验,本科,招1人,1.0,1.5,1.2
高级/资深Java开发工程师,1.8-3.6万/月,上市公司,10000人以上,网络游戏,杭州-滨江区,3-4年经验,本科,招3人,1.8,3.6,2.7
微信ABtest实验平台开发工程师（深圳、北京、广州）,3-6万/月,暂无,少于50人,计算机服务(系统、数据服务、维修),异地招聘,无需经验,本科,招2人,3.0,6.0,4.5
Machine Learning Analyst,1-1.5万/月,外资（欧美）,5000-10000人,制药/生物工程,上海-浦东新区,1年经验,本科,招若干人,1.0,1.5,1.2
SFC系统软件开发工程师,0.8-1万/月,合资,10000人以上,计算机硬件,昆山,2年经验,本科,招4人,0.8,1.0,0.9
云系统开发工程师,30-45万/年,国企,1000-5000人,通信/电信运营、增值服务,深圳-南山区,5-7年经验,本科,招若干人,2.5,3.8,3.1
Java开发工程师(J11211),1-1.6万/月,上市公司,10000人以上,快速消费品(食品、饮料、化妆品),广州-海珠区,3-4年经验,本科,招4人,1.0,1.6,1.3
Java资深开发工程师,1.5-2万/月,外资（欧美）,150-500人,批发/零售,上海,5-7年经验,大专,招若干人,1.5,2.0,1.8
java后台开发工程师（数据方向）,1.5-2.5万/月,上市公司,1000-5000人,计算机软件,深圳-南山区,1年经验,本科,招若干人,1.5,2.5,2.0
企业数据架构,2-2.5万/月,上市公司,10000人以上,快速消费品(食品、饮料、化妆品),上海-闵行区,5-7年经验,本科,招1人,2.0,2.5,2.2
Senior System Software Engineer - Apache Spark,2.5-3万/月,外资（欧美）,10000人以上,电子技术/半导体/集成电路,上海,5-7年经验,本科,招若干人,2.5,3.0,2.8
数据挖掘主管（算法工程师）,1-2万/月,上市公司,10000人以上,快速消费品(食品、饮料、化妆品),武汉-东西湖区,3-4年经验,硕士,招1人,1.0,2.0,1.5
Java高级开发工程师,0.6-1.5万/月,外资（欧美）,500-1000人,计算机软件,温州,无需经验,本科,招2人,0.6,1.5,1.1
Java开发经理,0,外资（非欧美）,10000人以上,快速消费品(食品、饮料、化妆品),成都,8-9年经验,本科,招1人,0.0,0.0,0.0
C++服务端,2-2.5万/月,国企,1000-5000人,网络游戏,杭州-西湖区,5-7年经验,本科,招若干人,2.0,2.5,2.2
软件开发工程师-Java方向,1.5-2.5万/月,上市公司,10000人以上,建筑/建材/工程,深圳,5-7年经验,本科,招10人,1.5,2.5,2.0
Java高级开发工程师,1-1.5万/月,上市公司,5000-10000人,通信/电信/网络设备,武汉,3-4年经验,本科,招2人,1.0,1.5,1.2
软件工程师 (后端),0.6-1.2万/月,外资（欧美）,500-1000人,电子技术/半导体/集成电路,西安,2年经验,本科,招2人,0.6,1.2,0.9
中高级系统集成工程师,1.5-2万/月,国企,500-1000人,计算机软件,宁波,5-7年经验,本科,招1人,1.5,2.0,1.8
智慧城市系统架构师（环成都事业部）,20-30万/年,国企,150-500人,房地产,成都-天府新区,3-4年经验,本科,招1人,1.7,2.5,2.1
JAVA开发及前端,12-20万/年,民营公司,暂无,计算机软件,苏州,3-4年经验,本科,招10人,1.0,1.7,1.4
模型分析经理(J191225023),2-2.5万/月,民营公司,10000人以上,互联网/电子商务,杭州,5-7年经验,本科,招1人,2.0,2.5,2.2
高级开发工程师(JAVA),1-1.5万/月,民营公司,5000-10000人,电气/电力/水利,南京-雨花台区,暂无,暂无,招2人,1.0,1.5,1.2
系统架构师（JAVA/C++/前端）,35-70万/年,民营公司,500-1000人,机械/设备/重工,深圳-龙华区,5-7年经验,本科,招1人,2.9,5.8,4.3
JAVA/C#开发工程师（IT）,1.5-2万/月,外资（非欧美）,1000-5000人,电子技术/半导体/集成电路,上海-松江区,1年经验,本科,招1人,1.5,2.0,1.8
后台开发工程师,1.5-2.3万/月,民营公司,150-500人,计算机软件,大连-高新园区,3-4年经验,本科,招若干人,1.5,2.3,1.9
企业IT技术架构师,3.3-4.5万/月,外资（欧美）,10000人以上,专业服务(咨询、人力资源、财会),上海-静安区,10年以上经验,本科,招1人,3.3,4.5,3.9
智慧校园解决方案架构师,3-4万/月,上市公司,10000人以上,计算机硬件,北京-海淀区,5-7年经验,硕士,招1人,3.0,4.0,3.5
系统架构设计师,1-2万/月,外资（非欧美）,10000人以上,电子技术/半导体/集成电路,郑州,5-7年经验,暂无,招2人,1.0,2.0,1.5
架构师,0,外资（非欧美）,5000-10000人,奢侈品/收藏品/工艺品/珠宝,广州,5-7年经验,本科,招1人,0.0,0.0,0.0
Java开发工程师,1.5-2万/月,上市公司,5000-10000人,互联网/电子商务,成都-高新区,3-4年经验,本科,招1人,1.5,2.0,1.8
数据架构师,0,外资（非欧美）,150-500人,银行,深圳,3-4年经验,本科,招1人,0.0,0.0,0.0
PHP开发工程师,1.3-1.6万/月,民营公司,10000人以上,餐饮业,北京-丰台区,3-4年经验,大专,招2人,1.3,1.6,1.5
前端/后端高级软件开发工程师(Python/C#),1-2万/月,外资（欧美）,5000-10000人,机械/设备/重工,北京-东城区,2年经验,本科,招1人,1.0,2.0,1.5
流程开发工程师,0,外资（非欧美）,5000-10000人,汽车,合肥-经开区,无需经验,硕士,招若干人,0.0,0.0,0.0
初中级BI工程师,8-20万/年,上市公司,150-500人,计算机软件,上海-徐汇区,2年经验,暂无,招1人,0.7,1.7,1.2
Java软件架构师,2-2.5万/月,民营公司,10000人以上,物业管理/商业中心,广州-天河区,5-7年经验,本科,招若干人,2.0,2.5,2.2
Java研发工程师(J13242),1.5-2万/月,国企,1000-5000人,计算机软件,北京-海淀区,3-4年经验,本科,招2人,1.5,2.0,1.8
个性化推荐算法资深工程师/专家--3958,3-5万/月,合资,5000-10000人,互联网/电子商务,成都-高新区,无需经验,暂无,招1人,3.0,5.0,4.0
云计算工程师,0,外资（非欧美）,500-1000人,通信/电信运营、增值服务,鄂尔多斯,1年经验,大专,招若干人,0.0,0.0,0.0
软件开发-服务端-JAVA,1.5-2万/月,民营公司,500-1000人,互联网/电子商务,上海-浦东新区,1年经验,暂无,招1人,1.5,2.0,1.8
设备研发岗（系统软件后端开发）,1.2-1.7万/月,国企,150-500人,学术/科研,西安-长安区,3-4年经验,硕士,招4人,1.2,1.7,1.4
技术员,3-4.5千/月,上市公司,10000人以上,制药/生物工程,哈尔滨,2年经验,大专,招1人,0.3,0.5,0.4
分行金融科技岗（社招熟手）,25-35万/年,上市公司,1000-5000人,银行,深圳-福田区,2年经验,本科,招若干人,2.1,2.9,2.5
Java开发工程师(003019),2-2.5万/月,民营公司,5000-10000人,互联网/电子商务,上海-闵行区,1年经验,本科,招5人,2.0,2.5,2.2
JAVA系统架构师,1-2万/月,合资,1000-5000人,制药/生物工程,广州-荔湾区,5-7年经验,本科,招若干人,1.0,2.0,1.5
System Analyst,1-2万/月,外资（非欧美）,500-1000人,互联网/电子商务,深圳-福田区,5-7年经验,本科,招1人,1.0,2.0,1.5
PHP开发高级工程师/系统架构设计师(平台运营方向),1.5-3万/月,民营公司,1000-5000人,网络游戏,广州-黄埔区,3-4年经验,本科,招若干人,1.5,3.0,2.2
数据开发工程师,1.5-2.5万/月,上市公司,10000人以上,互联网/电子商务,苏州-工业园区,3-4年经验,本科,招若干人,1.5,2.5,2.0
Java开发工程师,1-1.5万/月,国企,1000-5000人,计算机软件,北京,1年经验,本科,招若干人,1.0,1.5,1.2
Java开发工程师,50-60万/年,上市公司,10000人以上,互联网/电子商务,上海-闵行区,8-9年经验,本科,招3人,4.2,5.0,4.6
海量数据研发工程师,1-1.5万/月,国企,5000-10000人,电子技术/半导体/集成电路,惠州,3-4年经验,大专,招若干人,1.0,1.5,1.2
JAVA开发工程师KF21003,1-1.8万/月,国企,1000-5000人,通信/电信运营、增值服务,杭州-滨江区,3-4年经验,本科,招若干人,1.0,1.8,1.4
SAP BW Consultant,1.5-2.5万/月,外资（非欧美）,1000-5000人,计算机软件,上海-闵行区,5-7年经验,本科,招5人,1.5,2.5,2.0
Java高级工程师,3-4万/月,民营公司,10000人以上,家具/家电/玩具/礼品,异地招聘,5-7年经验,本科,招若干人,3.0,4.0,3.5
后端开发工程师,1.5-2万/月,上市公司,5000-10000人,汽车,上海-嘉定区,3-4年经验,本科,招1人,1.5,2.0,1.8
Java高级开发工程师,2-2.6万/月,国企,5000-10000人,电子技术/半导体/集成电路,惠州,5-7年经验,本科,招若干人,2.0,2.6,2.3
高级JAVA开发工程师--物联网方向,1-2万/月,国企,5000-10000人,制药/生物工程,合肥-蜀山区,5-7年经验,本科,招若干人,1.0,2.0,1.5
高级/软件开发工程师—财务处,1.5-2.5万/月,民营公司,10000人以上,汽车,深圳-坪山区,5-7年经验,本科,招6人,1.5,2.5,2.0
Java架构师,1-1.5万/月,合资,1000-5000人,交通/运输/物流,青岛,3-4年经验,大专,招3人,1.0,1.5,1.2
C++开发工程师,2-2.5万/月,外资（非欧美）,1000-5000人,计算机服务(系统、数据服务、维修),上海-浦东新区,5-7年经验,本科,招若干人,2.0,2.5,2.2
Java中级开发工程师,0,外资（欧美）,少于50人,交通/运输/物流,成都-双流区,2年经验,本科,招若干人,0.0,0.0,0.0
Java高级开发工程师,2-3万/月,民营公司,150-500人,通信/电信运营、增值服务,上海-浦东新区,5-7年经验,本科,招1人,2.0,3.0,2.5
研发中心——Java研发工程师,0.6-1.2万/月,国企,1000-5000人,计算机软件,南京-浦口区,1年经验,本科,招5人,0.6,1.2,0.9
互联网渠道管理专家,1-2万/月,合资,10000人以上,银行,佛山-南海区,3-4年经验,本科,招2人,1.0,2.0,1.5
高级后端开发工程师,1.6-2.2万/月,上市公司,1000-5000人,医疗设备/器械,成都-高新区,5-7年经验,本科,招1人,1.6,2.2,1.9
数据平台架构师(015886),1.5-2.5万/月,外资（非欧美）,10000人以上,计算机服务(系统、数据服务、维修),武汉-江夏区,5-7年经验,本科,招1人,1.5,2.5,2.0
高级开发工程师,1-2万/月,上市公司,500-1000人,计算机服务(系统、数据服务、维修),上海-长宁区,1年经验,本科,招2人,1.0,2.0,1.5
数据仓库工程师,2.2-2.5万/月,上市公司,10000人以上,新能源,上海-静安区,5-7年经验,本科,招1人,2.2,2.5,2.4
JAVA高级开发工程师,0.8-1.2万/月,国企,5000-10000人,文字媒体/出版,成都-金牛区,2年经验,本科,招2人,0.8,1.2,1.0
Scala/Java工程师,1.5-2.5万/月,民营公司,500-1000人,计算机软件,北京-大兴区,2年经验,本科,招2人,1.5,2.5,2.0
数据开发岗,1-1.5万/月,国企,1000-5000人,金融/投资/证券,上海,2年经验,本科,招若干人,1.0,1.5,1.2
数据工程师(J10691),1.5-2.5万/月,民营公司,1000-5000人,互联网/电子商务,上海-徐汇区,5-7年经验,本科,招1人,1.5,2.5,2.0
Java资深开发工程师,2-2.5万/月,民营公司,50-150人,建筑/建材/工程,上海-青浦区,5-7年经验,本科,招1人,2.0,2.5,2.2
Java高级开发工程师（架构师  关务）,2-3万/月,国企,500-1000人,计算机服务(系统、数据服务、维修),深圳-福田区,5-7年经验,本科,招1人,2.0,3.0,2.5
Java开发工程师,1.5-3万/月,外资（欧美）,1000-5000人,计算机软件,南京-雨花台区,3-4年经验,大专,招5人,1.5,3.0,2.2
数据挖掘工程师,20-25万/年,上市公司,5000-10000人,家具/家电/玩具/礼品,佛山-顺德区,3-4年经验,大专,招1人,1.7,2.1,1.9
CT售前技术专家（河南）(J11625),1.3-2.6万/月,合资,10000人以上,通信/电信/网络设备,郑州-郑东新区,暂无,本科,招若干人,1.3,2.6,2.0
软件开发及项目管理岗（风险子公司）,1.2-1.8万/月,国企,500-1000人,金融/投资/证券,上海,2年经验,本科,招1人,1.2,1.8,1.5
MES实施工程师(J11915),0.6-1.2万/月,民营公司,10000人以上,医疗/护理/卫生,威海,1年经验,本科,招2人,0.6,1.2,0.9
系统架构师,2-4万/月,外资（非欧美）,150-500人,通信/电信/网络设备,深圳-宝安区,5-7年经验,本科,招1人,2.0,4.0,3.0
c++软件工程师,1.3-2.6万/月,民营公司,50-150人,电子技术/半导体/集成电路,珠海,5-7年经验,本科,招1人,1.3,2.6,2.0
资深智能驾驶感知数据融合开发,0,合资,500-1000人,汽车,上海-浦东新区,5-7年经验,硕士,招1人,0.0,0.0,0.0
软件开发经理,2.5-3.5万/月,合资,10000人以上,仪器仪表/工业自动化,上海-嘉定区,8-9年经验,本科,招1人,2.5,3.5,3.0
高级软件工程师,1.2-2.5万/月,上市公司,1000-5000人,制药/生物工程,武汉-洪山区,5-7年经验,本科,招1人,1.2,2.5,1.9
php开发工程师,1.1-2万/月,民营公司,150-500人,网络游戏,广州-海珠区,无需经验,本科,招若干人,1.1,2.0,1.6
Java开发工程师,1-2万/月,国企,500-1000人,通信/电信运营、增值服务,武汉-武汉经济开发区,3-4年经验,本科,招若干人,1.0,2.0,1.5
Java高级开发工程师,1-1.5万/月,民营公司,1000-5000人,建筑/建材/工程,上海,3-4年经验,本科,招1人,1.0,1.5,1.2
数据挖掘工程师,10-15万/年,合资,150-500人,汽车,西安-高新技术产业开发区,1年经验,大专,招1人,0.8,1.2,1.0
高级软件技术工程师（集控中心端）(J16187),1-2万/月,民营公司,1000-5000人,电气/电力/水利,北京-大兴区,3-4年经验,本科,招2人,1.0,2.0,1.5
后端开发工程师-上海-08379,1.5-2.5万/月,上市公司,5000-10000人,交通/运输/物流,上海-长宁区,2年经验,本科,招1人,1.5,2.5,2.0
高级技术架构,3-4.5万/月,合资,150-500人,互联网/电子商务,深圳,5-7年经验,大专,招1人,3.0,4.5,3.8
高级开发工程师,1.5-2.5万/月,国企,1000-5000人,计算机硬件,北京,5-7年经验,本科,招1人,1.5,2.5,2.0
java高级工程师 (MJ004388),0.8-1.2万/月,上市公司,500-1000人,计算机软件,西安,3-4年经验,本科,招1人,0.8,1.2,1.0
数据类架构,0,国企,5000-10000人,金融/投资/证券,北京,2年经验,本科,招若干人,0.0,0.0,0.0
JAVA开发工程师,2-2.5万/月,合资,500-1000人,计算机服务(系统、数据服务、维修),上海-浦东新区,3-4年经验,本科,招30人,2.0,2.5,2.2
数据开发工程师,1-1.5万/月,合资,1000-5000人,制药/生物工程,武汉,2年经验,本科,招1人,1.0,1.5,1.2
Z004 java开发工程师(J10533),1-1.5万/月,民营公司,1000-5000人,会计/审计,杭州,3-4年经验,本科,招1人,1.0,1.5,1.2
生信软件开发及数据挖掘工程师(J26250),2.5-3万/月,国企,1000-5000人,电子技术/半导体/集成电路,成都-郫都区,3-4年经验,硕士,招2人,2.5,3.0,2.8
数据开发工程师,1-2万/月,上市公司,10000人以上,计算机软件,北京-昌平区,5-7年经验,本科,招5人,1.0,2.0,1.5
Java开发工程师,1.2-1.8万/月,上市公司,500-1000人,网络游戏,深圳,3-4年经验,本科,招1人,1.2,1.8,1.5
JAVA开发工程师,1-1.5万/月,上市公司,10000人以上,餐饮业,北京-大兴区,3-4年经验,本科,招1人,1.0,1.5,1.2
增长技术组leader,1.5-3万/月,民营公司,500-1000人,网络游戏,深圳-南山区,5-7年经验,本科,招若干人,1.5,3.0,2.2
BI及数据可视化工程师,20-30万/年,上市公司,5000-10000人,家具/家电/玩具/礼品,上海-闵行区,3-4年经验,本科,招1人,1.7,2.5,2.1
软件工程师-数字轨道,1-2万/月,上市公司,5000-10000人,仪器仪表/工业自动化,北京,3-4年经验,本科,招1人,1.0,2.0,1.5
数据开发工程师(J13762),2.5-4.1万/月,上市公司,10000人以上,电气/电力/水利,异地招聘,5-7年经验,本科,招1人,2.5,4.1,3.3
技术架构师HZ20043,1.5-3万/月,上市公司,1000-5000人,计算机软件,南京,3-4年经验,本科,招1人,1.5,3.0,2.2
高级研发工程师,1-1.5万/月,民营公司,1000-5000人,计算机服务(系统、数据服务、维修),南昌,5-7年经验,本科,招5人,1.0,1.5,1.2
二次开发工程师,10-15万/年,上市公司,50-150人,计算机软件,杭州-拱墅区,2年经验,本科,招2人,0.8,1.2,1.0
未来网络技术预研,0.8-1.5万/月,民营公司,50-150人,计算机软件,南京-江宁区,无需经验,本科,招若干人,0.8,1.5,1.1
Java资深开发工程师,2.5-5万/月,外资（欧美）,50-150人,互联网/电子商务,上海-静安区,8-9年经验,本科,招1人,2.5,5.0,3.8
后端开发工程师,1.5-2万/月,民营公司,50-150人,计算机软件,广州-天河区,2年经验,本科,招2人,1.5,2.0,1.8
Java开发工程师,1-2万/月,民营公司,50-150人,计算机软件,上海-普陀区,3-4年经验,本科,招1人,1.0,2.0,1.5
Java中级开发工程师,1.5-1.8万/月,民营公司,150-500人,专业服务(咨询、人力资源、财会),北京-朝阳区,5-7年经验,本科,招1人,1.5,1.8,1.6
PHP开发工程师,1-1.5万/月,民营公司,50-150人,互联网/电子商务,杭州-西湖区,3-4年经验,大专,招1人,1.0,1.5,1.2
软件平台运维-用电自动化及需求侧管理,0,国企,暂无,电气/电力/水利,南京,暂无,本科,招若干人,0.0,0.0,0.0
Java开发工程师,0.8-1.2万/月,民营公司,150-500人,计算机软件,东莞-南城区,2年经验,本科,招3人,0.8,1.2,1.0
Java架构师,2.5-3.5万/月,民营公司,150-500人,专业服务(咨询、人力资源、财会),上海-静安区,3-4年经验,本科,招1人,2.5,3.5,3.0
.NET开发工程师,0.8-1万/月,民营公司,50-150人,计算机软件,南昌-红谷滩新区,3-4年经验,本科,招若干人,0.8,1.0,0.9
Python爬虫工程师,1-1.5万/月,民营公司,150-500人,贸易/进出口,武汉-洪山区,2年经验,大专,招1人,1.0,1.5,1.2
全栈工程师,1.5-2万/月,民营公司,150-500人,医疗设备/器械,广州-黄埔区,3-4年经验,本科,招1人,1.5,2.0,1.8
Python高级开发工程师,1.2-2.5万/月,民营公司,150-500人,电子技术/半导体/集成电路,成都-双流区,3-4年经验,本科,招1人,1.2,2.5,1.9
PHP工程师,0,外资（非欧美）,150-500人,电子技术/半导体/集成电路,广州-黄埔区,5-7年经验,本科,招若干人,0.0,0.0,0.0
架构师,2-4万/月,合资,1000-5000人,计算机软件,深圳-南山区,5-7年经验,本科,招2人,2.0,4.0,3.0
数据挖掘工程师（初级）,0.8-1.5万/月,民营公司,50-150人,计算机软件,上海-杨浦区,1年经验,本科,招1人,0.8,1.5,1.1
Net Core开发工程师,1.5-2万/月,民营公司,50-150人,金融/投资/证券,深圳-福田区,3-4年经验,大专,招1人,1.5,2.0,1.8
Java技术部经理,1.5-2万/月,外资（非欧美）,150-500人,教育/培训/院校,广州-天河区,5-7年经验,本科,招1人,1.5,2.0,1.8
Java中高级开发工程师,1.5-2.5万/月,民营公司,500-1000人,贸易/进出口,深圳-龙岗区,3-4年经验,大专,招1人,1.5,2.5,2.0
信息系统主管/经理,1.5-2.5万/月,民营公司,150-500人,多元化业务集团公司,广州-越秀区,5-7年经验,大专,招1人,1.5,2.5,2.0
GO开发工程师,1.3-1.6万/月,民营公司,500-1000人,计算机软件,深圳-南山区,3-4年经验,本科,招1人,1.3,1.6,1.5
电气自动化,0.8-1.5万/月,民营公司,150-500人,计算机软件,北京-丰台区,无需经验,大专,招8人,0.8,1.5,1.1
Java资深开发工程师,1.5-2.5万/月,民营公司,50-150人,计算机软件,苏州-高新区,5-7年经验,本科,招3人,1.5,2.5,2.0
数据专员,6-8千/月,上市公司,1000-5000人,互联网/电子商务,上海-徐汇区,1年经验,本科,招1人,0.6,0.8,0.7
.net开发,0.8-1万/月,民营公司,少于50人,计算机软件,武汉-洪山区,2年经验,大专,招10人,0.8,1.0,0.9
Java开发工程师,1-2.2万/月,民营公司,少于50人,互联网/电子商务,深圳-南山区,3-4年经验,本科,招2人,1.0,2.2,1.6
IOT开发工程师,2-3.5万/月,民营公司,5000-10000人,专业服务(咨询、人力资源、财会),深圳-光明新区,3-4年经验,本科,招3人,2.0,3.5,2.8
Java高级开发工程师,1-1.5万/月,民营公司,150-500人,计算机软件,大连,3-4年经验,大专,招8人,1.0,1.5,1.2
.net 开发工程师,1-1.5万/月,民营公司,50-150人,计算机软件,上海-浦东新区,2年经验,本科,招2人,1.0,1.5,1.2
数据开发工程师,6-8千/月,民营公司,1000-5000人,计算机软件,苏州-工业园区,2年经验,大专,招1人,0.6,0.8,0.7
系统架构师,3-4万/月,民营公司,5000-10000人,会计/审计,杭州-江干区,5-7年经验,本科,招若干人,3.0,4.0,3.5
Java高级开发工程师,3-4万/月,民营公司,50-150人,计算机软件,广州-黄埔区,5-7年经验,本科,招若干人,3.0,4.0,3.5
高级架构师,2-4万/月,民营公司,50-150人,计算机软件,杭州,3-4年经验,本科,招1人,2.0,4.0,3.0
java高级工程师,0.6-1.5万/月,上市公司,10000人以上,批发/零售,长沙-岳麓区,3-4年经验,大专,招1人,0.6,1.5,1.1
数据开发工程师,0.8-1.5万/月,国企,150-500人,互联网/电子商务,上海-浦东新区,1年经验,本科,招若干人,0.8,1.5,1.1
高级JAVA开发工程师（广州）,1-2万/月,民营公司,50-150人,计算机软件,广州-番禺区,1年经验,本科,招若干人,1.0,2.0,1.5
系统集成软件工程师,4.5-6千/月,民营公司,少于50人,环保,郑州-金水区,1年经验,本科,招5人,0.5,0.6,0.6
后端开发工程师,1-1.5万/月,创业公司,50-150人,计算机服务(系统、数据服务、维修),杭州-西湖区,2年经验,本科,招4人,1.0,1.5,1.2
PHP中级开发工程师,1.5-3万/月,民营公司,150-500人,网络游戏,上海-浦东新区,3-4年经验,本科,招3人,1.5,3.0,2.2
IT软件开发部经理,1-2万/月,民营公司,1000-5000人,服装/纺织/皮革,上海-青浦区,5-7年经验,本科,招1人,1.0,2.0,1.5
PHP开发工程师,1.5-2万/月,民营公司,少于50人,互联网/电子商务,上海-杨浦区,3-4年经验,大专,招1人,1.5,2.0,1.8
资深Java开发工程师,1.2-2.5万/月,民营公司,少于50人,计算机软件,上海-闵行区,3-4年经验,本科,招2人,1.2,2.5,1.9
系统架构师,2.5-3.5万/月,民营公司,50-150人,计算机软件,广州-天河区,8-9年经验,本科,招若干人,2.5,3.5,3.0
诚聘 Java中、高级软件工程师,0.7-1万/月,合资,150-500人,计算机软件,郑州-二七区,2年经验,大专,招8人,0.7,1.0,0.8
程序员,7-8千/月,民营公司,50-150人,教育/培训/院校,郑州-金水区,3-4年经验,本科,招3人,0.7,0.8,0.8
PHP工程师,0.6-1万/月,民营公司,1000-5000人,快速消费品(食品、饮料、化妆品),靖江,3-4年经验,本科,招1人,0.6,1.0,0.8
Python开发工程师,1.2-1.8万/月,民营公司,50-150人,金融/投资/证券,深圳-南山区,2年经验,本科,招1人,1.2,1.8,1.5
