title,provide_salary,company_type,company_size,company_ind,attribute
生物大数据应用中心-高级软件工程师,1.5-2万/月,民营公司,150-500人,学术/科研,"['长沙-芙蓉区', '5-7年经验', '本科', '招1人']"
大数据软件工程师,1.5-2.5万/月,民营公司,500-1000人,多元化业务集团公司,"['北京-朝阳区', '3-4年经验', '本科', '招1人']"
大数据研发工程师,1.3-1.8万/月,上市公司,150-500人,计算机软件,"['长沙-岳麓区', '5-7年经验', '大专', '招5人']"
大数据工程师（共享平台&数据智能部门）,20-35万/年,国企,5000-10000人,保险,"['上海-徐汇区', '3-4年经验', '本科', '招若干人']"
大数据开发工程师,1.5-2.5万/月,合资,5000-10000人,互联网/电子商务,"['上海-浦东新区', '1年经验', '硕士', '招若干人']"
大数据开发工程师,2.5-3万/月,民营公司,,通信/电信/网络设备,"['广州', '本科', '招若干人']"
研究院-大数据开发工程师,2-2.5万/月,上市公司,10000人以上,通信/电信/网络设备,"['杭州-滨江区', '无需经验', '招2人']"
大数据开发工程师（无锡）,1-1.5万/月,国企,1000-5000人,电子技术/半导体/集成电路,"['无锡', '3-4年经验', '硕士', '招若干人']"
大数据架构师,3-5万/月,民营公司,500-1000人,互联网/电子商务,"['北京-昌平区', '5-7年经验', '本科', '招1人']"
大数据开发工程师,1.1-2万/月,民营公司,1000-5000人,教育/培训/院校,"['南京-雨花台区', '3-4年经验', '本科', '招2人']"
高级大数据开发工程师,2.5-4万/月,民营公司,1000-5000人,互联网/电子商务,"['深圳-南山区', '5-7年经验', '本科', '招1人']"
大数据软件工程师（Java）,1.5-2万/月,民营公司,50-150人,计算机软件,"['上海-浦东新区', '2年经验', '本科', '招3人']"
大数据平台JAVA开发工程师,1.5-2万/月,民营公司,150-500人,计算机软件,"['北京-海淀区', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,2-3万/月,民营公司,150-500人,互联网/电子商务,"['深圳-南山区', '5-7年经验', '本科', '招1人']"
大数据架构师,2-4万/月,合资,150-500人,计算机软件,"['上海-浦东新区', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,1-1.5万/月,合资,1000-5000人,交通/运输/物流,"['上海-青浦区', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,1.2-2万/月,上市公司,150-500人,计算机软件,"['武汉-东湖新技术产业开发区', '3-4年经验', '本科', '招1人']"
大数据开发工程师,0.5-1万/月,民营公司,50-150人,计算机软件,"['重庆-渝北区', '1年经验', '本科', '招若干人']"
高级软件开发工程师（大数据）,10-30万/年,国企,5000-10000人,计算机软件,"['许昌', '3-4年经验', '硕士', '招1人']"
大数据开发工程师,1.5-2.5万/月,民营公司,150-500人,计算机服务(系统、数据服务、维修),"['上海', '2年经验', '本科', '招1人']"
大数据开发工程师,4.5-6千/月,民营公司,50-150人,计算机软件,"['成都-高新区', '无需经验', '招1人']"
大数据开发工程师,1-1.2万/月,民营公司,500-1000人,多元化业务集团公司,"['长沙-天心区', '3-4年经验', '本科', '招1人']"
大数据开发工程师,0.8-1万/月,民营公司,少于50人,计算机服务(系统、数据服务、维修),"['武汉-洪山区', '1年经验', '大专', '招1人']"
架构师(大数据开发),2.2-4万/月,民营公司,50-150人,计算机软件,"['上海-浦东新区', '8-9年经验', '本科', '招1人']"
Java大数据开发工程师G00325,0.9-1.5万/月,上市公司,1000-5000人,医疗设备/器械,"['成都-高新区', '1年经验', '本科', '招2人']"
大数据开发工程师,15-20万/年,国企,50-150人,环保,"['武汉-洪山区', '2年经验', '本科', '招2人']"
高级大数据开发工程师,2-4万/月,民营公司,1000-5000人,计算机软件,"['上海-浦东新区', '5-7年经验', '本科', '招1人']"
大数据开发工程师,1-2万/月,民营公司,150-500人,学术/科研,"['长沙-芙蓉区', '3-4年经验', '本科', '招1人']"
大数据解决方案架构师（海关）,2-2.5万/月,外资（欧美）,150-500人,计算机软件,"['海口-龙华区', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,1-1.5万/月,上市公司,1000-5000人,计算机服务(系统、数据服务、维修),"['济南', '3-4年经验', '大专', '招1人']"
数据架构师（大数据结算）,0.8-1.5万/月,民营公司,150-500人,外包服务,"['异地招聘', '5-7年经验', '大专', '招2人']"
大数据开发工程师,1.5-2.5万/月,民营公司,1000-5000人,教育/培训/院校,"['上海-浦东新区', '3-4年经验', '本科', '招3人']"
国企脱硝催化剂大数据研发员（高新，8小时，双休）,6-8千/月,国企,150-500人,石油/化工/矿产/地质,"['无锡-宜兴市', '无需经验', '硕士', '招1人']"
大数据技术经理/系统架构师,2-3万/月,民营公司,50-150人,交通/运输/物流,"['上海-虹口区', '10年以上经验', '大专', '招1人']"
大数据算法工程师,1.5-2万/月,国企,150-500人,航天/航空,"['西安-长安区', '3-4年经验', '硕士', '招1人']"
中级大数据开发,1.5-2万/月,民营公司,1000-5000人,计算机软件,"['北京-海淀区', '5-7年经验', '大专', '招1人']"
大数据分析工程师（校招）,0.6-1.2万/月,民营公司,150-500人,计算机软件,"['芜湖', '无需经验', '本科', '招3人']"
大数据开发工程师,1.2-2万/月,民营公司,500-1000人,金融/投资/证券,"['杭州-上城区', '无需经验', '本科', '招2人']"
资深大数据开发工程师 (MJ002270),1.5-2万/月,上市公司,1000-5000人,计算机软件,"['杭州-滨江区', '5-7年经验', '本科', '招1人']"
大数据开发工程师,1.5-2.4万/月,国企,50-150人,计算机服务(系统、数据服务、维修),"['北京-石景山区', '2年经验', '本科', '招1人']"
大数据开发工程师（初/中/高级）,1-2万/月,国企,500-1000人,计算机软件,"['南京-鼓楼区', '3-4年经验', '大专', '招若干人']"
(广州）大数据开发工程师,0.8-1.5万/月,民营公司,,计算机软件,"['广州-天河区', '1年经验', '本科', '招2人']"
