info,url,date
保定电视台、保定日报报道我校第八期“金创黄埔”...,https://www.hbfu.edu.cn/newsContent?id=7122&type=1,2021-04-27
保定电视台报道我校“2021年全国知识产权宣传周”...,https://www.hbfu.edu.cn/newsContent?id=7119&type=1,2021-04-24
人民日报社-人民论坛网、中国教育网、河北共产党员...,https://www.hbfu.edu.cn/newsContent?id=7108&type=1,2021-04-21
保定电视台报道我校 “4.15”全民国家安全教育日反...,https://www.hbfu.edu.cn/newsContent?id=7107&type=1,2021-04-21
河北日报、河北广播电视台、长城网、河北新闻网等...,https://www.hbfu.edu.cn/newsContent?id=7104&type=1,2021-04-20
西部志愿汇微信公众号报道我校毕业生志愿援疆事迹,https://www.hbfu.edu.cn/newsContent?id=7091&type=1,2021-04-15
《河北青年报》就我校发起的保定市区块链综合金融...,https://www.hbfu.edu.cn/newsContent?id=7090&type=1,2021-04-15
“学习强国”学习平台报道我校社团献礼建党百年专...,https://www.hbfu.edu.cn/newsContent?id=7084&type=1,2021-04-14
